time,logger,level,message,exception
2012-08-02 00:00:34.4147,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-02 00:00:34.4147,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -     3 ms - PhotoCache - 404 - /docs/Raven/Replication/Destinations,
2012-08-02 00:00:34.5407,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was found,
2012-08-02 00:00:34.5407,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -     5 ms - <system>   - 200 - /docs/Raven/Databases/PhotoCache,
2012-08-02 00:01:08.6347,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-02 00:01:08.6347,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -     2 ms - PhotoCache - 404 - /docs/Raven/Replication/Destinations,
2012-08-02 00:01:08.7657,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/PhotoCache' was found,
2012-08-02 00:01:08.7657,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -     4 ms - <system>   - 200 - /docs/Raven/Databases/PhotoCache,
2012-08-02 00:01:20.9307,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fImageModels:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fImageModels : AbstractViewGenerator
{
	public Index_Temp_2fImageModels()
	{
		this.ViewText = @""from doc in docs.ImageModels
select new {  }
"";
		this.ForEntityNames.Add(""ImageModels"");
		this.AddMapDefinition(docs => from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""ImageModels"", System.StringComparison.InvariantCultureIgnoreCase)
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fImageModels : AbstractViewGenerator
{
	public Index_Temp_2fImageModels()
	{
		this.ViewText = @""from doc in docs.ImageModels
select new {  }
"";
		this.ForEntityNames.Add(""ImageModels"");
		this.AddMapDefinition(docs => from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""ImageModels"", System.StringComparison.InvariantCultureIgnoreCase)
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-08-02 00:01:20.9307,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/ImageModels with encoded name Temp/ImageModels,
2012-08-02 00:01:20.9307,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/ImageModels,
2012-08-02 00:01:20.9307,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 7 because: PUT INDEX Temp/ImageModels,
2012-08-02 00:01:20.9307,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:01:20.9307,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/ImageModels for all documents,
2012-08-02 00:01:20.9417,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 2 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000,
2012-08-02 00:01:20.9417,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 2 documents remained",
2012-08-02 00:01:20.9417,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/ImageModels, LastIndexedEtag: 00000000-0000-0000-0000-000000000000",
2012-08-02 00:01:20.9417,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/ImageModels. (ImageModels/6854270d-ab88-4430-8920-10c0733a9fcc),
2012-08-02 00:01:20.9577,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on ImageModels/6854270d-ab88-4430-8920-10c0733a9fcc result in index Temp/ImageModels gave document: 	__document_id IS: imagemodels/6854270d-ab88-4430-8920-10c0733a9fcc
",
2012-08-02 00:01:20.9577,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/ImageModels,
2012-08-02 00:01:20.9577,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 8 because: WORK BY IndexingExecuter,
